n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1887.00, 0.00, 2, 2,
 20, 4986.00, 1.00, 5, 2,
 30, 15585.00, 4.00, 37, 27,
 50, 24725.00, 5.00, 44, 32,
 40, 20422.00, 3.00, 26, 18,
 60, 34023.00, 8.00, 70, 51,
 70, 39028.00, 9.00, 90, 60,
 90, 51904.00, 17.00, 144, 101,
 80, 48202.00, 12.00, 123, 83,
 100, 57471.00, 25.00, 220, 161,
