n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 36315.00,2.00, 0,
 600, 36076.00,137.00, 13,
 900, 36296.00,218.00, 21,
 200, 36647.00,46.00, 4,
 700, 35947.00,164.00, 16,
 50, 36492.00,14.00, 0,
 300, 36065.00,71.00, 7,
 400, 36081.00,92.00, 8,
 500, 36257.00,116.00, 10,
 800, 35922.00,185.00, 18,
 100, 36138.00,22.00, 2,
 1000, 36208.00,247.00, 21,
