n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 6491.00,3.00, 1,
 600, 6272.00,148.00, 113,
 900, 6316.00,223.00, 182,
 200, 6355.00,52.00, 39,
 700, 6268.00,173.00, 141,
 50, 6400.00,13.00, 8,
 300, 6322.00,75.00, 56,
 400, 6274.00,101.00, 73,
 500, 6272.00,125.00, 92,
 800, 6291.00,199.00, 159,
 100, 6335.00,24.00, 18,
 1000, 6308.00,249.00, 194,
