n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 1618.00,2.00, 2,
 600, 1625.00,143.00, 122,
 900, 1621.00,218.00, 191,
 200, 1639.00,48.00, 43,
 700, 1620.00,175.00, 147,
 50, 1636.00,13.00, 11,
 300, 1610.00,71.00, 62,
 400, 1612.00,96.00, 82,
 500, 1656.00,137.00, 102,
 800, 1635.00,193.00, 170,
 100, 1623.00,24.00, 20,
 1000, 1618.00,256.00, 202,
