n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 6274.00,2.00, 1,
 600, 6328.00,152.00, 113,
 900, 6305.00,224.00, 182,
 200, 6298.00,51.00, 39,
 700, 6276.00,175.00, 141,
 50, 6285.00,13.00, 8,
 300, 6314.00,76.00, 56,
 400, 6301.00,101.00, 73,
 500, 6315.00,125.00, 92,
 800, 6309.00,199.00, 159,
 100, 6302.00,25.00, 18,
 1000, 6318.00,249.00, 194,
