n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 6406.00,2.00, 1,
 600, 6302.00,151.00, 113,
 900, 6279.00,225.00, 182,
 200, 6345.00,53.00, 39,
 700, 6294.00,175.00, 141,
 50, 6629.00,13.00, 8,
 300, 6349.00,78.00, 56,
 400, 6297.00,100.00, 73,
 500, 6302.00,125.00, 92,
 800, 6340.00,198.00, 159,
 100, 6341.00,25.00, 18,
 1000, 6295.00,250.00, 194,
