n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 10.00, 1.00,6, 2.00, 212.00, 4.00, 2, 2,
 600, 10.00, 1.00,6, 3.00, 209.00, 87.00, 130, 122,
 900, 22.00, 3.00,8, 3.00, 208.00, 137.00, 208, 192,
 200, 17.00, 1.00,7, 3.00, 211.00, 24.00, 45, 42,
 700, 9.00, 1.00,6, 3.00, 209.00, 101.00, 160, 150,
 50, 9.00, 1.00,7, 3.00, 220.00, 6.00, 11, 9,
 300, 12.00, 2.00,14, 6.00, 217.00, 35.00, 66, 62,
 400, 10.00, 1.00,6, 3.00, 207.00, 46.00, 85, 80,
 500, 11.00, 1.00,7, 3.00, 224.00, 69.00, 106, 100,
 800, 10.00, 1.00,7, 3.00, 207.00, 114.00, 181, 169,
 100, 9.00, 1.00,6, 3.00, 209.00, 10.00, 21, 19,
 1000, 9.00, 1.00,6, 3.00, 211.00, 149.00, 222, 204,
