n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,30, 2.00, 2289.00, 0.00, 0, 0,
 600, 18.00, 1.00,31, 3.00, 2259.00, 11.00, 26, 13,
 900, 19.00, 0.00,31, 3.00, 2245.00, 28.00, 43, 21,
 200, 19.00, 0.00,31, 3.00, 2268.00, 3.00, 10, 4,
 700, 18.00, 0.00,31, 3.00, 2253.00, 20.00, 31, 16,
 50, 18.00, 0.00,31, 3.00, 2258.00, 1.00, 2, 0,
 300, 18.00, 0.00,31, 3.00, 2242.00, 5.00, 14, 7,
 400, 18.00, 1.00,30, 3.00, 2239.00, 6.00, 16, 8,
 500, 18.00, 1.00,30, 3.00, 2265.00, 8.00, 21, 10,
 800, 18.00, 0.00,31, 3.00, 2241.00, 20.00, 34, 18,
 100, 18.00, 0.00,30, 3.00, 2267.00, 2.00, 4, 2,
 1000, 18.00, 1.00,30, 3.00, 2256.00, 27.00, 43, 21,
