n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 3.00,5, 9.00, 102.00, 1.00, 4, 2,
 600, 5.00, 2.00,1, 3.00, 102.00, 39.00, 145, 122,
 900, 13.00, 3.00,4, 7.00, 103.00, 69.00, 228, 191,
 200, 6.00, 1.00,2, 4.00, 110.00, 13.00, 50, 43,
 700, 14.00, 3.00,4, 7.00, 102.00, 48.00, 174, 147,
 50, 6.00, 1.00,2, 3.00, 101.00, 5.00, 14, 11,
 300, 13.00, 3.00,5, 6.00, 117.00, 17.00, 71, 62,
 400, 9.00, 2.00,2, 3.00, 104.00, 24.00, 95, 82,
 500, 6.00, 1.00,2, 3.00, 103.00, 34.00, 120, 102,
 800, 6.00, 1.00,2, 3.00, 101.00, 58.00, 202, 170,
 100, 10.00, 1.00,3, 3.00, 104.00, 6.00, 23, 20,
 1000, 6.00, 1.00,2, 3.00, 103.00, 74.00, 244, 202,
