n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 13.00, 3.00,2, 2.00, 103.00, 1.00, 4, 2,
 600, 13.00, 3.00,4, 7.00, 102.00, 40.00, 145, 122,
 900, 9.00, 2.00,2, 4.00, 103.00, 65.00, 228, 191,
 200, 14.00, 3.00,4, 7.00, 106.00, 13.00, 50, 43,
 700, 6.00, 1.00,2, 3.00, 103.00, 46.00, 174, 147,
 50, 6.00, 1.00,2, 3.00, 132.00, 4.00, 14, 11,
 300, 6.00, 1.00,2, 3.00, 101.00, 17.00, 71, 62,
 400, 14.00, 3.00,4, 7.00, 101.00, 25.00, 95, 82,
 500, 7.00, 3.00,4, 5.00, 104.00, 31.00, 120, 102,
 800, 5.00, 2.00,2, 3.00, 102.00, 57.00, 202, 170,
 100, 7.00, 2.00,3, 3.00, 102.00, 6.00, 23, 20,
 1000, 11.00, 1.00,2, 3.00, 102.00, 71.00, 244, 202,
