n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,31, 3.00, 2262.00, 0.00, 0, 0,
 600, 19.00, 0.00,31, 3.00, 2271.00, 11.00, 26, 13,
 900, 18.00, 1.00,30, 3.00, 2275.00, 27.00, 43, 21,
 200, 18.00, 0.00,31, 3.00, 2252.00, 2.00, 10, 4,
 700, 18.00, 1.00,30, 3.00, 2265.00, 19.00, 31, 16,
 50, 18.00, 1.00,30, 3.00, 2231.00, 2.00, 2, 0,
 300, 18.00, 1.00,30, 3.00, 2255.00, 5.00, 14, 7,
 400, 18.00, 0.00,31, 3.00, 2243.00, 5.00, 16, 8,
 500, 18.00, 0.00,30, 3.00, 2243.00, 8.00, 21, 10,
 800, 18.00, 1.00,30, 3.00, 2278.00, 20.00, 34, 18,
 100, 18.00, 0.00,31, 3.00, 2234.00, 3.00, 4, 2,
 1000, 18.00, 1.00,30, 3.00, 2238.00, 28.00, 43, 21,
