moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,22.40,211.80,4.40,2.00,2.00,,10.00,21.40,221.20,3.60,2.00,2.00
600.00,24.00,209.00,155.00,131.00,122.00,,600.00,24.40,213.80,93.00,130.00,122.00
900.00,24.60,211.60,245.00,209.00,192.00,,900.00,26.80,215.20,144.20,208.00,192.00
200.00,24.40,211.60,45.20,46.00,42.00,,200.00,25.00,214.00,24.00,45.00,42.00
700.00,21.60,209.40,183.40,161.00,150.00,,700.00,21.80,213.60,104.60,160.00,150.00
50.00,20.20,209.40,12.00,11.00,9.00,,50.00,20.40,217.40,5.80,11.00,9.00
300.00,23.60,211.00,65.60,67.00,62.00,,300.00,24.00,216.40,36.40,66.00,62.00
400.00,28.40,210.20,89.20,86.00,80.00,,400.00,20.00,215.60,48.40,85.00,80.00
500.00,25.20,210.20,131.20,107.00,100.00,,500.00,25.40,219.60,71.00,106.00,100.00
800.00,19.80,210.80,211.80,182.00,169.00,,800.00,20.20,213.60,120.00,181.00,169.00
100.00,23.80,209.00,20.20,22.00,19.00,,100.00,24.60,218.20,11.40,21.00,19.00
1000.00,26.60,210.60,276.20,223.00,204.00,,1000.00,19.40,214.00,154.20,222.00,204.00
