moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,22.0, 240.00, 5.00, 2, 2
 600,19.0, 215.00, 95.00, 130, 122
 900,23.0, 222.00, 156.00, 208, 192
 200,21.0, 220.00, 24.00, 45, 42
 700,21.0, 221.00, 105.00, 160, 150
 50,20.0, 224.00, 5.00, 11, 9
 300,23.0, 211.00, 38.00, 66, 62
 400,19.0, 216.00, 55.00, 85, 80
 500,19.0, 222.00, 69.00, 106, 100
 800,20.0, 220.00, 120.00, 181, 169
 100,23.0, 221.00, 14.00, 21, 19
 1000,19.0, 214.00, 156.00, 222, 204
