moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,19.0, 111.00, 4.00, 4, 2
 600,12.0, 108.00, 163.00, 145, 122
 900,12.0, 108.00, 252.00, 228, 191
 200,12.0, 114.00, 58.00, 50, 43
 700,12.0, 108.00, 178.00, 174, 147
 50,11.0, 113.00, 21.00, 14, 11
 300,12.0, 109.00, 72.00, 71, 62
 400,15.0, 109.00, 109.00, 95, 82
 500,12.0, 109.00, 126.00, 120, 102
 800,14.0, 104.00, 219.00, 202, 170
 100,12.0, 106.00, 33.00, 23, 20
 1000,12.0, 112.00, 303.00, 244, 202
