moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,28.0, 114.00, 2.00, 4, 2
 600,24.0, 102.00, 40.00, 145, 122
 900,12.0, 101.00, 66.00, 228, 191
 200,14.0, 108.00, 13.00, 50, 43
 700,11.0, 101.00, 48.00, 174, 147
 50,12.0, 102.00, 4.00, 14, 11
 300,26.0, 101.00, 18.00, 71, 62
 400,12.0, 101.00, 24.00, 95, 82
 500,21.0, 105.00, 31.00, 120, 102
 800,20.0, 100.00, 57.00, 202, 170
 100,11.0, 117.00, 7.00, 23, 20
 1000,24.0, 103.00, 72.00, 244, 202
