n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 9.00, 1.00,6, 3.00, 215.00, 5.00, 2, 2,
 600, 12.00, 1.00,6, 3.00, 209.00, 156.00, 131, 122,
 900, 9.00, 1.00,6, 3.00, 208.00, 242.00, 209, 192,
 200, 11.00, 1.00,7, 4.00, 216.00, 46.00, 46, 42,
 700, 10.00, 1.00,8, 5.00, 211.00, 181.00, 161, 150,
 50, 10.00, 1.00,6, 3.00, 212.00, 12.00, 11, 9,
 300, 10.00, 1.00,5, 2.00, 218.00, 67.00, 67, 62,
 400, 19.00, 2.00,12, 5.00, 214.00, 89.00, 86, 80,
 500, 9.00, 1.00,6, 3.00, 216.00, 127.00, 107, 100,
 800, 9.00, 1.00,6, 3.00, 215.00, 212.00, 182, 169,
 100, 10.00, 1.00,6, 3.00, 211.00, 20.00, 22, 19,
 1000, 12.00, 1.00,8, 3.00, 209.00, 281.00, 223, 204,
