n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 1.00,3, 4.00, 120.00, 4.00, 4, 2,
 600, 5.00, 1.00,2, 3.00, 104.00, 153.00, 145, 122,
 900, 5.00, 2.00,1, 3.00, 105.00, 230.00, 228, 191,
 200, 7.00, 1.00,3, 3.00, 105.00, 48.00, 50, 43,
 700, 6.00, 1.00,2, 3.00, 104.00, 177.00, 174, 147,
 50, 5.00, 2.00,2, 2.00, 105.00, 14.00, 14, 11,
 300, 13.00, 4.00,4, 3.00, 113.00, 66.00, 71, 62,
 400, 13.00, 3.00,5, 6.00, 104.00, 91.00, 95, 82,
 500, 5.00, 2.00,1, 3.00, 102.00, 123.00, 120, 102,
 800, 12.00, 3.00,5, 6.00, 105.00, 202.00, 202, 170,
 100, 6.00, 1.00,2, 3.00, 109.00, 27.00, 23, 20,
 1000, 5.00, 2.00,1, 3.00, 103.00, 277.00, 244, 202,
