moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,14.20,116.20,4.40,4.00,2.00,,10.00,23.20,105.60,1.20,4.00,2.00
600.00,14.60,106.40,158.40,145.00,122.00,,600.00,22.00,108.40,39.80,145.00,122.00
900.00,11.60,107.60,240.00,228.00,191.00,,900.00,19.00,102.60,66.40,228.00,191.00
200.00,12.60,110.60,52.40,50.00,43.00,,200.00,17.00,106.20,13.00,50.00,43.00
700.00,12.00,107.60,176.00,174.00,147.00,,700.00,14.80,102.00,47.40,174.00,147.00
50.00,11.80,108.40,15.80,14.00,11.00,,50.00,14.40,108.80,4.60,14.00,11.00
300.00,15.00,108.80,71.20,71.00,62.00,,300.00,19.60,107.80,17.20,71.00,62.00
400.00,17.40,107.40,98.60,95.00,82.00,,400.00,19.00,102.20,24.20,95.00,82.00
500.00,13.80,107.20,125.40,120.00,102.00,,500.00,15.20,103.20,31.60,120.00,102.00
800.00,16.80,106.60,212.80,202.00,170.00,,800.00,18.40,104.20,57.80,202.00,170.00
100.00,13.20,107.60,28.40,23.00,20.00,,100.00,16.40,108.40,6.20,23.00,20.00
1000.00,14.00,108.40,291.60,244.00,202.00,,1000.00,14.80,102.40,72.60,244.00,202.00
