n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,31, 3.00, 2244.00, 0.00, 0, 0,
 600, 19.00, 1.00,32, 4.00, 2258.00, 90.00, 26, 13,
 900, 18.00, 0.00,30, 3.00, 2242.00, 156.00, 43, 21,
 200, 18.00, 1.00,31, 3.00, 2289.00, 24.00, 10, 4,
 700, 18.00, 0.00,31, 3.00, 2240.00, 113.00, 31, 16,
 50, 19.00, 0.00,30, 3.00, 2270.00, 5.00, 2, 0,
 300, 18.00, 1.00,30, 3.00, 2297.00, 39.00, 14, 7,
 400, 18.00, 0.00,32, 3.00, 2301.00, 51.00, 16, 8,
 500, 18.00, 1.00,30, 3.00, 2249.00, 74.00, 21, 10,
 800, 18.00, 0.00,31, 2.00, 2244.00, 134.00, 34, 18,
 100, 19.00, 0.00,31, 3.00, 2286.00, 10.00, 4, 2,
 1000, 18.00, 0.00,32, 2.00, 2238.00, 170.00, 43, 21,
