n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 1605.00,3.00, 2,
 600, 1612.00,145.00, 139,
 900, 1609.00,215.00, 161,
 200, 1600.00,47.00, 40,
 700, 1608.00,170.00, 139,
 50, 1603.00,12.00, 5,
 300, 1597.00,70.00, 55,
 400, 1641.00,96.00, 82,
 500, 1616.00,121.00, 104,
 800, 1642.00,188.00, 122,
 100, 1598.00,24.00, 21,
 1000, 1610.00,238.00, 209,
