n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 35499.00,2.00, 0,
 600, 35480.00,141.00, 13,
 900, 35498.00,218.00, 20,
 200, 35531.00,49.00, 6,
 700, 35484.00,162.00, 14,
 50, 35497.00,14.00, 0,
 300, 35507.00,68.00, 6,
 400, 35519.00,91.00, 5,
 500, 35509.00,121.00, 10,
 800, 35537.00,180.00, 10,
 100, 35495.00,27.00, 3,
 1000, 35527.00,233.00, 19,
