n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 6292.00,2.00, 3,
 600, 6279.00,153.00, 150,
 900, 6284.00,222.00, 162,
 200, 6341.00,50.00, 36,
 700, 6307.00,170.00, 147,
 50, 6253.00,12.00, 7,
 300, 6333.00,78.00, 49,
 400, 6332.00,96.00, 66,
 500, 6286.00,122.00, 100,
 800, 6262.00,192.00, 121,
 100, 6286.00,26.00, 23,
 1000, 6309.00,249.00, 210,
