n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 26827.00,3.00, 2,
 600, 26943.00,188.00, 99,
 900, 26856.00,238.00, 120,
 200, 26859.00,51.00, 27,
 700, 26890.00,188.00, 89,
 50, 26844.00,11.00, 3,
 300, 27213.00,75.00, 28,
 400, 26982.00,98.00, 42,
 500, 26886.00,128.00, 61,
 800, 26819.00,197.00, 79,
 100, 26921.00,31.00, 15,
 1000, 26840.00,263.00, 139,
