n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 26977.00,2.00, 2,
 600, 27125.00,187.00, 99,
 900, 27011.00,241.00, 120,
 200, 27070.00,50.00, 27,
 700, 27114.00,190.00, 89,
 50, 26949.00,12.00, 3,
 300, 26965.00,74.00, 28,
 400, 27525.00,99.00, 42,
 500, 27078.00,130.00, 61,
 800, 27254.00,204.00, 79,
 100, 26913.00,31.00, 15,
 1000, 26936.00,266.00, 139,
