n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 26884.00,2.00, 2,
 600, 26965.00,192.00, 99,
 900, 26886.00,240.00, 120,
 200, 26753.00,51.00, 27,
 700, 27052.00,190.00, 89,
 50, 26794.00,11.00, 3,
 300, 27485.00,83.00, 28,
 400, 27313.00,100.00, 42,
 500, 27132.00,131.00, 61,
 800, 26988.00,197.00, 79,
 100, 26871.00,33.00, 15,
 1000, 26963.00,261.00, 139,
