n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,52.0,364.0,0.0,0.0, 0, 0
20,105.0,498.0,0.0,1.0, 2, 2
30,153.0,2304.0,3.0,2.0, 7, 5
50,255.0,3133.0,4.0,1.0, 7, 5
40,205.0,2540.0,3.0,1.0, 7, 5
60,305.0,4360.0,6.0,2.0, 9, 4
70,367.0,6386.0,7.0,2.0, 15, 12
90,476.0,7705.0,11.0,5.0, 17, 11
80,409.0,7001.0,9.0,5.0, 18, 8
100,511.0,9478.0,17.0,9.0, 36, 21
