n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 1.00,23, 3.00, 281.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 33.00, 2.00,48, 5.00, 466.00, 5, 0.00, 2.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 51.00, 3.00,71, 8.00, 2287.00, 25, 2.00, 16.00, 2.00, 15.00, 25, 34, 17, 17, 16,
50, 82.00, 4.00,119, 13.00, 4042.00, 44, 4.00, 7.00, 3.00, 6.00, 44, 52, 29, 29, 21,
40, 65.00, 4.00,96, 11.00, 3138.00, 34, 3.00, 21.00, 2.00, 20.00, 34, 26, 18, 18, 15,
60, 97.00, 6.00,142, 16.00, 4879.00, 53, 5.00, 7.00, 3.00, 7.00, 53, 68, 40, 40, 34,
70, 113.00, 7.00,167, 19.00, 5981.00, 64, 6.00, 59.00, 5.00, 59.00, 64, 100, 48, 48, 39,
90, 146.00, 9.00,217, 23.00, 7726.00, 84, 8.00, 67.00, 8.00, 66.00, 84, 145, 81, 81, 65,
80, 130.00, 7.00,191, 21.00, 7058.00, 76, 7.00, 50.00, 6.00, 49.00, 76, 119, 66, 66, 57,
100, 164.00, 9.00,266, 29.00, 8642.00, 93, 9.00, 97.00, 11.00, 95.00, 93, 237, 138, 138, 113,
