n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 12.00, 2.00,7, 3.00, 33.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 20.00, 2.00,13, 6.00, 88.00, 8, 1.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 26.00, 3.00,18, 8.00, 277.00, 25, 2.00, 2.00, 2.00, 1.00, 25, 37, 28, 28, 27,
50, 44.00, 5.00,29, 14.00, 457.00, 40, 4.00, 1.00, 2.00, 1.00, 40, 44, 35, 35, 33,
40, 35.00, 4.00,23, 11.00, 365.00, 33, 3.00, 1.00, 1.00, 1.00, 33, 26, 20, 20, 20,
60, 53.00, 6.00,36, 16.00, 606.00, 55, 6.00, 2.00, 4.00, 2.00, 55, 70, 56, 56, 53,
70, 69.00, 7.00,41, 18.00, 690.00, 63, 7.00, 2.00, 5.00, 3.00, 63, 90, 64, 64, 60,
90, 78.00, 8.00,53, 24.00, 948.00, 84, 9.00, 4.00, 7.00, 5.00, 84, 144, 106, 106, 103,
80, 72.00, 8.00,47, 22.00, 856.00, 78, 8.00, 4.00, 6.00, 5.00, 78, 123, 90, 90, 86,
100, 88.00, 9.00,59, 26.00, 1042.00, 93, 9.00, 7.00, 11.00, 8.00, 93, 220, 175, 175, 169,
