n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 17.00, 1.00,24, 3.00, 284.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 35.00, 2.00,47, 6.00, 467.00, 5, 0.00, 2.00, 0.00, 1.00, 5, 3, 2, 2, 2,
30, 49.00, 3.00,72, 9.00, 2301.00, 25, 2.00, 16.00, 1.00, 15.00, 25, 34, 17, 17, 16,
50, 81.00, 5.00,118, 14.00, 4070.00, 44, 5.00, 7.00, 3.00, 7.00, 44, 52, 29, 29, 21,
40, 67.00, 4.00,95, 11.00, 3171.00, 34, 3.00, 21.00, 1.00, 21.00, 34, 26, 18, 18, 15,
60, 118.00, 5.00,143, 16.00, 4875.00, 53, 5.00, 7.00, 4.00, 6.00, 53, 68, 40, 40, 34,
70, 118.00, 6.00,165, 19.00, 5902.00, 64, 6.00, 59.00, 5.00, 58.00, 64, 100, 48, 48, 39,
90, 149.00, 9.00,216, 24.00, 7784.00, 84, 8.00, 68.00, 7.00, 69.00, 84, 145, 81, 81, 65,
80, 152.00, 8.00,198, 22.00, 7060.00, 76, 8.00, 49.00, 6.00, 50.00, 76, 119, 66, 66, 57,
100, 161.00, 9.00,240, 26.00, 8610.00, 93, 9.00, 97.00, 11.00, 95.00, 93, 237, 138, 138, 113,
