n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 10.00, 1.00,6, 3.00, 34.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 26.00, 2.00,12, 5.00, 88.00, 8, 1.00, 0.00, 1.00, 0.00, 8, 5, 3, 3, 2,
30, 37.00, 3.00,22, 9.00, 280.00, 25, 3.00, 1.00, 2.00, 1.00, 25, 37, 28, 28, 27,
50, 52.00, 5.00,30, 13.00, 437.00, 40, 4.00, 2.00, 2.00, 1.00, 40, 44, 35, 35, 33,
40, 45.00, 3.00,24, 11.00, 375.00, 33, 4.00, 1.00, 1.00, 1.00, 33, 26, 20, 20, 20,
60, 65.00, 5.00,36, 17.00, 608.00, 55, 6.00, 2.00, 4.00, 2.00, 55, 70, 56, 56, 53,
70, 77.00, 6.00,41, 19.00, 701.00, 63, 6.00, 3.00, 4.00, 3.00, 63, 90, 64, 64, 60,
90, 100.00, 8.00,53, 24.00, 940.00, 84, 9.00, 4.00, 7.00, 5.00, 84, 144, 106, 106, 103,
80, 86.00, 7.00,48, 21.00, 863.00, 78, 7.00, 5.00, 6.00, 5.00, 78, 123, 90, 90, 86,
100, 88.00, 10.00,60, 26.00, 1025.00, 93, 9.00, 7.00, 10.00, 8.00, 93, 220, 175, 175, 169,
