n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 1.00,24, 3.00, 283.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 36.00, 2.00,47, 6.00, 484.00, 5, 1.00, 1.00, 1.00, 1.00, 5, 3, 2, 2, 2,
30, 50.00, 2.00,72, 8.00, 2304.00, 25, 3.00, 16.00, 2.00, 15.00, 25, 34, 17, 17, 16,
50, 84.00, 5.00,118, 13.00, 4042.00, 44, 4.00, 7.00, 2.00, 7.00, 44, 52, 29, 29, 21,
40, 68.00, 4.00,95, 11.00, 3143.00, 34, 3.00, 20.00, 1.00, 21.00, 34, 26, 18, 18, 15,
60, 101.00, 5.00,142, 16.00, 4936.00, 53, 5.00, 7.00, 4.00, 7.00, 53, 68, 40, 40, 34,
70, 123.00, 6.00,166, 19.00, 6004.00, 64, 6.00, 61.00, 5.00, 59.00, 64, 100, 48, 48, 39,
90, 150.00, 9.00,214, 24.00, 7783.00, 84, 8.00, 67.00, 7.00, 66.00, 84, 145, 81, 81, 65,
80, 131.00, 8.00,188, 21.00, 6978.00, 76, 7.00, 50.00, 5.00, 50.00, 76, 119, 66, 66, 57,
100, 160.00, 10.00,239, 26.00, 8619.00, 93, 9.00, 96.00, 11.00, 97.00, 93, 237, 138, 138, 113,
