n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 2.00,11, 3.00, 33.00, 3, 0.00, 1.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 27.00, 1.00,12, 6.00, 87.00, 8, 1.00, 1.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 28.00, 3.00,20, 8.00, 276.00, 25, 2.00, 2.00, 2.00, 1.00, 25, 37, 28, 28, 27,
50, 53.00, 5.00,30, 13.00, 442.00, 40, 4.00, 1.00, 2.00, 1.00, 40, 44, 35, 35, 33,
40, 41.00, 3.00,24, 11.00, 362.00, 33, 3.00, 1.00, 2.00, 0.00, 33, 26, 20, 20, 20,
60, 53.00, 6.00,35, 16.00, 603.00, 55, 6.00, 2.00, 4.00, 2.00, 55, 70, 56, 56, 53,
70, 87.00, 6.00,41, 19.00, 688.00, 63, 7.00, 2.00, 4.00, 4.00, 63, 90, 64, 64, 60,
90, 79.00, 8.00,53, 24.00, 931.00, 84, 9.00, 4.00, 7.00, 5.00, 84, 144, 106, 106, 103,
80, 86.00, 7.00,48, 21.00, 860.00, 78, 8.00, 4.00, 6.00, 4.00, 78, 123, 90, 90, 86,
100, 88.00, 9.00,61, 27.00, 1028.00, 93, 9.00, 7.00, 10.00, 9.00, 93, 220, 175, 175, 169,
