n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 3.00,4, 6.00, 20.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
20, 12.00, 3.00,4, 5.00, 54.00, 10, 1.00, 1.00, 0.00, 1.00, 10, 10, 3, 3, 2,
30, 16.00, 3.00,6, 8.00, 132.00, 24, 2.00, 1.00, 2.00, 1.00, 24, 42, 31, 31, 24,
50, 33.00, 6.00,10, 14.00, 251.00, 46, 4.00, 2.00, 3.00, 2.00, 46, 66, 41, 41, 35,
40, 22.00, 5.00,8, 12.00, 212.00, 38, 4.00, 1.00, 2.00, 1.00, 38, 42, 21, 21, 19,
60, 33.00, 7.00,11, 16.00, 323.00, 59, 6.00, 3.00, 5.00, 3.00, 59, 121, 58, 58, 49,
70, 40.00, 8.00,14, 18.00, 371.00, 68, 7.00, 4.00, 6.00, 3.00, 68, 144, 72, 72, 61,
90, 51.00, 10.00,17, 24.00, 490.00, 88, 9.00, 7.00, 15.00, 5.00, 88, 261, 113, 113, 84,
80, 64.00, 9.00,15, 21.00, 428.00, 78, 8.00, 4.00, 8.00, 4.00, 78, 167, 96, 96, 85,
100, 56.00, 12.00,18, 27.00, 527.00, 97, 9.00, 9.00, 15.00, 8.00, 97, 335, 195, 195, 161,
