n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,24.0,33.0,1.0,0.0, 2, 2
20,41.0,88.0,1.0,0.0, 3, 2
30,55.0,277.0,4.0,3.0, 28, 27
50,92.0,457.0,5.0,3.0, 35, 33
40,73.0,365.0,4.0,2.0, 20, 20
60,111.0,606.0,8.0,6.0, 56, 53
70,135.0,690.0,9.0,8.0, 64, 60
90,163.0,948.0,13.0,12.0, 106, 103
80,149.0,856.0,12.0,11.0, 90, 86
100,182.0,1042.0,16.0,19.0, 175, 169
