n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 11.00, 1.00,3, 3.00, 17.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 2, 2, 0,
20, 11.00, 3.00,4, 5.00, 55.00, 10, 1.00, 0.00, 0.00, 1.00, 10, 10, 3, 3, 2,
30, 28.00, 4.00,5, 8.00, 130.00, 24, 2.00, 1.00, 2.00, 1.00, 24, 42, 31, 31, 24,
50, 43.00, 6.00,9, 13.00, 252.00, 46, 5.00, 2.00, 3.00, 2.00, 46, 66, 41, 41, 35,
40, 22.00, 5.00,7, 11.00, 208.00, 38, 4.00, 1.00, 2.00, 1.00, 38, 42, 21, 21, 19,
60, 42.00, 7.00,11, 16.00, 328.00, 59, 6.00, 3.00, 6.00, 2.00, 59, 121, 58, 58, 49,
70, 39.00, 8.00,13, 18.00, 382.00, 68, 7.00, 3.00, 7.00, 2.00, 68, 144, 72, 72, 61,
90, 72.00, 11.00,17, 23.00, 475.00, 88, 9.00, 6.00, 12.00, 6.00, 88, 261, 113, 113, 84,
80, 44.00, 10.00,15, 20.00, 427.00, 78, 8.00, 4.00, 7.00, 5.00, 78, 167, 96, 96, 85,
100, 56.00, 12.00,18, 26.00, 543.00, 97, 9.00, 9.00, 15.00, 8.00, 97, 335, 195, 195, 161,
