n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,51.0,366.0,0.0,1.0, 0, 0
20,104.0,499.0,1.0,0.0, 2, 2
30,154.0,2306.0,3.0,2.0, 7, 5
50,255.0,3145.0,4.0,1.0, 7, 5
40,205.0,2547.0,3.0,1.0, 7, 5
60,302.0,4367.0,5.0,1.0, 9, 4
70,356.0,6166.0,7.0,2.0, 15, 12
90,456.0,7641.0,11.0,4.0, 17, 11
80,405.0,6923.0,9.0,5.0, 18, 8
100,505.0,9359.0,17.0,10.0, 36, 21
