n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 9.00, 1.00,7, 2.00, 33.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 18.00, 2.00,12, 6.00, 87.00, 8, 1.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 26.00, 3.00,18, 8.00, 274.00, 25, 3.00, 1.00, 2.00, 1.00, 25, 37, 28, 28, 27,
50, 46.00, 6.00,29, 13.00, 440.00, 40, 4.00, 1.00, 2.00, 1.00, 40, 44, 35, 35, 33,
40, 35.00, 4.00,23, 11.00, 364.00, 33, 3.00, 1.00, 1.00, 1.00, 33, 26, 20, 20, 20,
60, 56.00, 6.00,37, 16.00, 610.00, 55, 6.00, 2.00, 4.00, 2.00, 55, 70, 56, 56, 53,
70, 61.00, 7.00,43, 19.00, 699.00, 63, 6.00, 3.00, 5.00, 3.00, 63, 90, 64, 64, 60,
90, 82.00, 9.00,53, 24.00, 922.00, 84, 9.00, 4.00, 7.00, 5.00, 84, 144, 106, 106, 103,
80, 70.00, 7.00,47, 21.00, 860.00, 78, 8.00, 4.00, 6.00, 5.00, 78, 123, 90, 90, 86,
100, 98.00, 9.00,59, 26.00, 1015.00, 93, 9.00, 7.00, 11.00, 8.00, 93, 220, 175, 175, 169,
