n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,35.0,226.0,1.0,0.0, 0, 0
20,71.0,374.0,1.0,0.0, 1, 1
30,111.0,1643.0,4.0,2.0, 9, 7
50,175.0,2380.0,4.0,2.0, 15, 12
40,140.0,2154.0,4.0,1.0, 9, 9
60,210.0,3836.0,7.0,4.0, 26, 22
70,247.0,4273.0,10.0,5.0, 27, 22
90,311.0,5722.0,12.0,7.0, 51, 38
80,282.0,5294.0,11.0,7.0, 33, 29
100,353.0,6538.0,19.0,14.0, 75, 62
