n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 1.00,30, 3.00, 368.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 36.00, 0.00,61, 5.00, 505.00, 4, 0.00, 1.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 54.00, 1.00,94, 9.00, 2335.00, 19, 2.00, 1.00, 1.00, 1.00, 19, 21, 7, 7, 5,
50, 89.00, 2.00,152, 13.00, 3152.00, 26, 2.00, 2.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 71.00, 1.00,120, 11.00, 2581.00, 21, 2.00, 0.00, 0.00, 0.00, 21, 11, 7, 7, 5,
60, 109.00, 2.00,180, 16.00, 4433.00, 36, 3.00, 3.00, 1.00, 1.00, 36, 29, 9, 9, 4,
70, 131.00, 2.00,212, 19.00, 6262.00, 51, 4.00, 3.00, 2.00, 1.00, 51, 42, 15, 15, 12,
90, 164.00, 3.00,291, 23.00, 7721.00, 63, 6.00, 5.00, 3.00, 2.00, 63, 61, 17, 17, 11,
80, 155.00, 3.00,250, 21.00, 7072.00, 57, 6.00, 4.00, 3.00, 2.00, 57, 57, 18, 18, 8,
100, 197.00, 3.00,302, 26.00, 9488.00, 77, 7.00, 10.00, 5.00, 4.00, 77, 106, 36, 36, 21,
