n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 0.00,19, 3.00, 226.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 26.00, 1.00,38, 6.00, 374.00, 5, 1.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 44.00, 2.00,57, 8.00, 1643.00, 22, 2.00, 2.00, 1.00, 1.00, 22, 25, 9, 9, 7,
50, 65.00, 3.00,93, 14.00, 2380.00, 32, 3.00, 1.00, 2.00, 0.00, 32, 26, 15, 15, 12,
40, 52.00, 3.00,75, 10.00, 2154.00, 29, 3.00, 1.00, 1.00, 0.00, 29, 17, 9, 9, 9,
60, 78.00, 3.00,114, 15.00, 3836.00, 52, 5.00, 2.00, 3.00, 1.00, 52, 52, 26, 26, 22,
70, 93.00, 4.00,132, 18.00, 4273.00, 57, 6.00, 4.00, 3.00, 2.00, 57, 63, 27, 27, 22,
90, 114.00, 6.00,168, 23.00, 5722.00, 77, 8.00, 4.00, 5.00, 2.00, 77, 102, 51, 51, 38,
80, 106.00, 5.00,151, 20.00, 5294.00, 71, 6.00, 5.00, 4.00, 3.00, 71, 83, 33, 33, 29,
100, 136.00, 7.00,185, 25.00, 6538.00, 88, 8.00, 11.00, 8.00, 6.00, 88, 168, 75, 75, 62,
