n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 1.00,18, 3.00, 221.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 30.00, 2.00,37, 6.00, 366.00, 5, 1.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 38.00, 2.00,56, 8.00, 1647.00, 22, 2.00, 1.00, 1.00, 1.00, 22, 25, 9, 9, 7,
50, 66.00, 4.00,93, 13.00, 2401.00, 32, 3.00, 1.00, 1.00, 0.00, 32, 26, 15, 15, 12,
40, 55.00, 3.00,73, 11.00, 2159.00, 29, 2.00, 1.00, 1.00, 1.00, 29, 17, 9, 9, 9,
60, 85.00, 4.00,112, 16.00, 3877.00, 52, 5.00, 2.00, 2.00, 2.00, 52, 52, 26, 26, 22,
70, 90.00, 4.00,132, 18.00, 4306.00, 57, 5.00, 4.00, 3.00, 2.00, 57, 63, 27, 27, 22,
90, 114.00, 5.00,170, 25.00, 5857.00, 77, 7.00, 4.00, 4.00, 3.00, 77, 102, 51, 51, 38,
80, 110.00, 5.00,151, 21.00, 5457.00, 71, 7.00, 5.00, 4.00, 3.00, 71, 83, 33, 33, 29,
100, 130.00, 6.00,186, 25.00, 6728.00, 88, 9.00, 10.00, 8.00, 5.00, 88, 168, 75, 75, 62,
