n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,100.0,502.0,0.0,0.0, 0, 0
20,165.0,1251.0,1.0,0.0, 2, 2
30,239.0,5469.0,4.0,2.0, 11, 7
50,396.0,7677.0,4.0,2.0, 16, 11
40,315.0,6661.0,4.0,1.0, 9, 8
60,472.0,12008.0,7.0,4.0, 24, 16
