n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,44.0,285.0,0.0,0.0, 0, 0
20,89.0,469.0,2.0,2.0, 2, 2
30,131.0,2318.0,18.0,17.0, 17, 16
50,223.0,4122.0,12.0,9.0, 29, 21
40,187.0,3246.0,24.0,22.0, 18, 15
60,265.0,4932.0,12.0,10.0, 40, 34
70,306.0,5972.0,65.0,63.0, 48, 39
90,394.0,7726.0,74.0,72.0, 81, 65
80,362.0,6997.0,59.0,54.0, 66, 57
100,435.0,8719.0,106.0,108.0, 138, 113
