n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 16.00, 1.00,24, 3.00, 284.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 0, 0, 0,
20, 33.00, 2.00,47, 5.00, 484.00, 5, 1.00, 1.00, 1.00, 1.00, 5, 3, 2, 2, 2,
30, 50.00, 3.00,73, 8.00, 2345.00, 25, 2.00, 16.00, 2.00, 15.00, 25, 34, 17, 17, 16,
50, 90.00, 5.00,118, 13.00, 4039.00, 44, 4.00, 8.00, 3.00, 6.00, 44, 52, 29, 29, 21,
40, 66.00, 4.00,94, 11.00, 3142.00, 34, 3.00, 21.00, 2.00, 20.00, 34, 26, 18, 18, 15,
60, 99.00, 6.00,141, 16.00, 4912.00, 53, 5.00, 7.00, 3.00, 8.00, 53, 68, 40, 40, 34,
70, 113.00, 7.00,167, 19.00, 6025.00, 64, 6.00, 60.00, 5.00, 58.00, 64, 100, 48, 48, 39,
90, 149.00, 8.00,216, 24.00, 7817.00, 84, 8.00, 67.00, 6.00, 66.00, 84, 145, 81, 81, 65,
80, 129.00, 7.00,192, 21.00, 7039.00, 76, 7.00, 51.00, 6.00, 49.00, 76, 119, 66, 66, 57,
100, 161.00, 9.00,241, 27.00, 8682.00, 93, 9.00, 98.00, 11.00, 96.00, 93, 237, 138, 138, 113,
