n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 6.00, 1.00,2, 3.00, 16.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
20, 22.00, 3.00,5, 5.00, 56.00, 10, 1.00, 0.00, 1.00, 0.00, 10, 10, 3, 3, 2,
30, 35.00, 3.00,6, 7.00, 132.00, 24, 3.00, 1.00, 2.00, 1.00, 24, 42, 31, 31, 24,
50, 34.00, 6.00,10, 13.00, 249.00, 46, 5.00, 1.00, 3.00, 1.00, 46, 66, 41, 41, 35,
40, 25.00, 5.00,7, 11.00, 203.00, 38, 4.00, 1.00, 2.00, 1.00, 38, 42, 21, 21, 19,
60, 33.00, 7.00,11, 16.00, 322.00, 59, 6.00, 3.00, 6.00, 3.00, 59, 121, 58, 58, 49,
70, 40.00, 8.00,13, 18.00, 371.00, 68, 6.00, 4.00, 6.00, 3.00, 68, 144, 72, 72, 61,
90, 58.00, 10.00,18, 23.00, 486.00, 88, 8.00, 6.00, 12.00, 5.00, 88, 261, 113, 113, 84,
80, 47.00, 9.00,15, 20.00, 423.00, 78, 8.00, 4.00, 8.00, 3.00, 78, 167, 96, 96, 85,
100, 61.00, 11.00,18, 26.00, 525.00, 97, 10.00, 8.00, 15.00, 8.00, 97, 335, 195, 195, 161,
