n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 0.00,30, 3.00, 366.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 0, 0, 0,
20, 37.00, 0.00,62, 5.00, 499.00, 4, 0.00, 1.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 54.00, 1.00,91, 8.00, 2306.00, 19, 2.00, 1.00, 1.00, 1.00, 19, 21, 7, 7, 5,
50, 90.00, 1.00,151, 13.00, 3145.00, 26, 3.00, 1.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 72.00, 1.00,121, 11.00, 2547.00, 21, 2.00, 1.00, 1.00, 0.00, 21, 11, 7, 7, 5,
60, 105.00, 1.00,180, 16.00, 4367.00, 36, 3.00, 2.00, 1.00, 0.00, 36, 29, 9, 9, 4,
70, 124.00, 2.00,212, 18.00, 6166.00, 51, 4.00, 3.00, 2.00, 0.00, 51, 42, 15, 15, 12,
90, 158.00, 3.00,271, 24.00, 7641.00, 63, 6.00, 5.00, 3.00, 1.00, 63, 61, 17, 17, 11,
80, 141.00, 2.00,241, 21.00, 6923.00, 57, 5.00, 4.00, 3.00, 2.00, 57, 57, 18, 18, 8,
100, 174.00, 4.00,301, 26.00, 9359.00, 77, 8.00, 9.00, 6.00, 4.00, 77, 106, 36, 36, 21,
