n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 0.00,32, 3.00, 366.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 0, 0, 0,
20, 37.00, 1.00,61, 5.00, 496.00, 4, 1.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 56.00, 1.00,90, 9.00, 2323.00, 19, 1.00, 2.00, 1.00, 0.00, 19, 21, 7, 7, 5,
50, 88.00, 2.00,151, 13.00, 3143.00, 26, 2.00, 2.00, 1.00, 1.00, 26, 18, 7, 7, 5,
40, 71.00, 1.00,121, 11.00, 2569.00, 21, 2.00, 1.00, 1.00, 0.00, 21, 11, 7, 7, 5,
60, 109.00, 2.00,181, 16.00, 4360.00, 36, 4.00, 2.00, 2.00, 0.00, 36, 29, 9, 9, 4,
70, 124.00, 2.00,213, 19.00, 6187.00, 51, 5.00, 2.00, 2.00, 1.00, 51, 42, 15, 15, 12,
90, 159.00, 3.00,271, 23.00, 7618.00, 63, 6.00, 5.00, 3.00, 1.00, 63, 61, 17, 17, 11,
80, 140.00, 3.00,258, 21.00, 6922.00, 57, 6.00, 4.00, 3.00, 2.00, 57, 57, 18, 18, 8,
100, 174.00, 3.00,304, 26.00, 9353.00, 77, 7.00, 10.00, 5.00, 4.00, 77, 106, 36, 36, 21,
