n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 0.00,31, 3.00, 364.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 38.00, 1.00,61, 5.00, 498.00, 4, 0.00, 0.00, 1.00, 0.00, 4, 2, 2, 2, 2,
30, 54.00, 1.00,90, 8.00, 2304.00, 19, 2.00, 1.00, 2.00, 0.00, 19, 21, 7, 7, 5,
50, 90.00, 2.00,150, 13.00, 3133.00, 26, 2.00, 2.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 72.00, 1.00,121, 11.00, 2540.00, 21, 2.00, 1.00, 1.00, 0.00, 21, 11, 7, 7, 5,
60, 108.00, 2.00,180, 15.00, 4360.00, 36, 4.00, 2.00, 2.00, 0.00, 36, 29, 9, 9, 4,
70, 129.00, 2.00,217, 19.00, 6386.00, 51, 5.00, 2.00, 1.00, 1.00, 51, 42, 15, 15, 12,
90, 174.00, 3.00,275, 24.00, 7705.00, 63, 6.00, 5.00, 3.00, 2.00, 63, 61, 17, 17, 11,
80, 141.00, 3.00,243, 22.00, 7001.00, 57, 5.00, 4.00, 3.00, 2.00, 57, 57, 18, 18, 8,
100, 177.00, 4.00,304, 26.00, 9478.00, 77, 8.00, 9.00, 5.00, 4.00, 77, 106, 36, 36, 21,
