n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 14.00, 1.00,18, 3.00, 228.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 26.00, 1.00,38, 5.00, 372.00, 5, 1.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 38.00, 2.00,56, 8.00, 1704.00, 22, 2.00, 2.00, 1.00, 1.00, 22, 25, 9, 9, 7,
50, 67.00, 3.00,92, 14.00, 2429.00, 32, 3.00, 1.00, 1.00, 0.00, 32, 26, 15, 15, 12,
40, 52.00, 2.00,74, 11.00, 2197.00, 29, 3.00, 1.00, 1.00, 1.00, 29, 17, 9, 9, 9,
60, 78.00, 7.00,113, 15.00, 3961.00, 52, 5.00, 2.00, 2.00, 2.00, 52, 52, 26, 26, 22,
70, 91.00, 4.00,132, 18.00, 4350.00, 57, 5.00, 4.00, 3.00, 2.00, 57, 63, 27, 27, 22,
90, 119.00, 6.00,172, 23.00, 5789.00, 77, 7.00, 5.00, 5.00, 3.00, 77, 102, 51, 51, 38,
80, 105.00, 5.00,160, 20.00, 5346.00, 71, 7.00, 5.00, 4.00, 3.00, 71, 83, 33, 33, 29,
100, 130.00, 6.00,186, 25.00, 6598.00, 88, 8.00, 11.00, 8.00, 7.00, 88, 168, 75, 75, 62,
