n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 0.00,31, 3.00, 367.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 36.00, 1.00,61, 6.00, 497.00, 4, 1.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 57.00, 1.00,92, 8.00, 2305.00, 19, 2.00, 1.00, 1.00, 1.00, 19, 21, 7, 7, 5,
50, 90.00, 2.00,151, 13.00, 3136.00, 26, 3.00, 2.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 71.00, 2.00,119, 11.00, 2541.00, 21, 2.00, 1.00, 1.00, 0.00, 21, 11, 7, 7, 5,
60, 107.00, 2.00,180, 16.00, 4367.00, 36, 3.00, 3.00, 2.00, 0.00, 36, 29, 9, 9, 4,
70, 141.00, 2.00,211, 19.00, 6208.00, 51, 5.00, 2.00, 2.00, 1.00, 51, 42, 15, 15, 12,
90, 159.00, 2.00,273, 24.00, 7634.00, 63, 6.00, 5.00, 3.00, 2.00, 63, 61, 17, 17, 11,
80, 140.00, 3.00,241, 21.00, 6929.00, 57, 6.00, 4.00, 3.00, 2.00, 57, 57, 18, 18, 8,
100, 182.00, 3.00,304, 26.00, 9356.00, 77, 7.00, 10.00, 5.00, 4.00, 77, 106, 36, 36, 21,
