moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,186.0, 7896.00, 124.00, 2, 2
 600,183.0, 7725.00, 6742.00, 68, 57
 900,183.0, 7780.00, 9623.00, 74, 63
 200,183.0, 7735.00, 2252.00, 17, 14
 700,184.0, 7742.00, 8679.00, 62, 48
 50,182.0, 7795.00, 67.00, 1, 1
 300,182.0, 7749.00, 2704.00, 23, 21
 400,185.0, 7716.00, 3049.00, 30, 24
 500,182.0, 7705.00, 5835.00, 50, 45
 800,185.0, 8015.00, 6713.00, 45, 42
 100,185.0, 7735.00, 617.00, 10, 8
 1000,186.0, 7770.00, 10574.00, 100, 88
