n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,26, 1.00, 4480.00, 0.00, 0, 0,
 600, 27.00, 0.00,27, 1.00, 4435.00, 64.00, 65, 39,
 900, 27.00, 1.00,27, 1.00, 4440.00, 79.00, 83, 64,
 200, 28.00, 0.00,27, 1.00, 4409.00, 16.00, 22, 14,
 700, 27.00, 1.00,26, 2.00, 4438.00, 58.00, 73, 41,
 50, 27.00, 1.00,26, 1.00, 4446.00, 1.00, 4, 0,
 300, 27.00, 1.00,26, 2.00, 4447.00, 26.00, 25, 18,
 400, 28.00, 1.00,26, 1.00, 4439.00, 39.00, 31, 18,
 500, 26.00, 1.00,26, 2.00, 4438.00, 19.00, 43, 27,
 800, 27.00, 1.00,26, 2.00, 4448.00, 37.00, 57, 36,
 100, 27.00, 1.00,26, 2.00, 4451.00, 7.00, 12, 7,
 1000, 27.00, 1.00,27, 2.00, 4427.00, 62.00, 93, 59,
