n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 13.00, 2.00,2, 3.00, 102.00, 4.00, 3, 2,
 600, 13.00, 1.00,1, 1.00, 99.00, 152.00, 182, 139,
 900, 8.00, 1.00,1, 2.00, 101.00, 187.00, 203, 161,
 200, 10.00, 0.00,2, 1.00, 103.00, 44.00, 50, 40,
 700, 13.00, 1.00,3, 3.00, 102.00, 166.00, 188, 139,
 50, 6.00, 1.00,0, 2.00, 102.00, 8.00, 8, 5,
 300, 8.00, 1.00,1, 1.00, 102.00, 67.00, 69, 55,
 400, 13.00, 1.00,2, 1.00, 102.00, 85.00, 106, 82,
 500, 12.00, 0.00,2, 1.00, 102.00, 107.00, 144, 104,
 800, 6.00, 1.00,1, 1.00, 100.00, 161.00, 166, 122,
 100, 8.00, 1.00,1, 2.00, 104.00, 23.00, 26, 21,
 1000, 13.00, 2.00,2, 2.00, 101.00, 212.00, 271, 209,
