moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,33.0, 1705.00, 6.00, 2, 2
 600,31.0, 1684.00, 1634.00, 125, 103
 900,31.0, 1682.00, 2547.00, 146, 122
 200,31.0, 1677.00, 515.00, 31, 27
 700,31.0, 1686.00, 1792.00, 117, 92
 50,31.0, 1680.00, 15.00, 4, 3
 300,31.0, 1680.00, 351.00, 37, 29
 400,31.0, 1679.00, 764.00, 53, 42
 500,31.0, 1681.00, 1153.00, 81, 62
 800,32.0, 1683.00, 1770.00, 105, 80
 100,31.0, 1682.00, 568.00, 19, 15
 1000,32.0, 1683.00, 3560.00, 170, 141
