n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 28.00, 1.00,27, 1.00, 4445.00, 0.00, 0, 0,
 600, 27.00, 1.00,28, 1.00, 4392.00, 67.00, 65, 39,
 900, 27.00, 1.00,26, 1.00, 4405.00, 79.00, 83, 64,
 200, 27.00, 1.00,26, 1.00, 4419.00, 16.00, 22, 14,
 700, 28.00, 1.00,27, 1.00, 4438.00, 55.00, 73, 41,
 50, 27.00, 1.00,26, 2.00, 4453.00, 2.00, 4, 0,
 300, 27.00, 1.00,26, 1.00, 4383.00, 29.00, 25, 18,
 400, 27.00, 1.00,27, 1.00, 4385.00, 43.00, 31, 18,
 500, 27.00, 1.00,26, 2.00, 4376.00, 20.00, 43, 27,
 800, 27.00, 1.00,26, 2.00, 4430.00, 36.00, 57, 36,
 100, 27.00, 1.00,26, 1.00, 4394.00, 7.00, 12, 7,
 1000, 27.00, 1.00,26, 1.00, 4406.00, 55.00, 93, 59,
