moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,25.0, 1388.00, 10.00, 2, 1
 600,25.0, 1325.00, 115.00, 67, 47
 900,25.0, 1324.00, 138.00, 74, 58
 200,25.0, 1328.00, 31.00, 17, 13
 700,25.0, 1324.00, 118.00, 69, 47
 50,25.0, 1332.00, 3.00, 2, 0
 300,25.0, 1349.00, 34.00, 27, 21
 400,25.0, 1343.00, 58.00, 35, 23
 500,24.0, 1346.00, 84.00, 46, 34
 800,25.0, 1326.00, 88.00, 50, 37
 100,27.0, 1328.00, 18.00, 13, 8
 1000,26.0, 1328.00, 146.00, 100, 75
