n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 84.00, 1.00,95, 1.00, 7762.00, 127.00, 2, 2,
 600, 85.00, 1.00,98, 1.00, 7818.00, 6653.00, 68, 57,
 900, 87.00, 1.00,97, 1.00, 7961.00, 9818.00, 74, 63,
 200, 84.00, 1.00,97, 1.00, 7745.00, 2257.00, 17, 14,
 700, 84.00, 0.00,98, 1.00, 7712.00, 8475.00, 62, 48,
 50, 86.00, 1.00,110, 2.00, 8243.00, 70.00, 1, 1,
 300, 84.00, 1.00,96, 1.00, 7713.00, 2736.00, 23, 21,
 400, 87.00, 0.00,99, 2.00, 7816.00, 3057.00, 30, 24,
 500, 86.00, 1.00,98, 2.00, 7816.00, 5824.00, 50, 45,
 800, 83.00, 0.00,96, 1.00, 7734.00, 6759.00, 45, 42,
 100, 86.00, 1.00,101, 1.00, 7938.00, 619.00, 10, 8,
 1000, 84.00, 1.00,96, 1.00, 7853.00, 10550.00, 100, 88,
