moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,182.0, 7738.00, 125.00, 2, 2
 600,182.0, 7686.00, 6611.00, 68, 57
 900,182.0, 7690.00, 9518.00, 74, 63
 200,182.0, 7685.00, 2245.00, 17, 14
 700,182.0, 7701.00, 8451.00, 62, 48
 50,181.0, 7674.00, 64.00, 1, 1
 300,181.0, 7694.00, 2658.00, 23, 21
 400,184.0, 7677.00, 3019.00, 30, 24
 500,182.0, 7695.00, 5727.00, 50, 45
 800,182.0, 7674.00, 6557.00, 45, 42
 100,184.0, 7675.00, 617.00, 10, 8
 1000,181.0, 7676.00, 10345.00, 100, 88
