moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,32.0, 1684.00, 7.00, 2, 2
 600,31.0, 1681.00, 1687.00, 125, 103
 900,31.0, 1682.00, 2630.00, 146, 122
 200,32.0, 1678.00, 539.00, 31, 27
 700,31.0, 1681.00, 1835.00, 117, 92
 50,31.0, 1677.00, 20.00, 4, 3
 300,31.0, 1685.00, 384.00, 37, 29
 400,31.0, 1676.00, 843.00, 53, 42
 500,31.0, 1687.00, 1218.00, 81, 62
 800,31.0, 1683.00, 1857.00, 105, 80
 100,32.0, 1678.00, 576.00, 19, 15
 1000,31.0, 1681.00, 3678.00, 170, 141
