n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 10.00, 1.00,4, 1.00, 208.00, 4.00, 4, 3,
 600, 9.00, 1.00,3, 1.00, 204.00, 162.00, 169, 159,
 900, 11.00, 1.00,3, 2.00, 205.00, 182.00, 194, 175,
 200, 22.00, 1.00,8, 2.00, 204.00, 46.00, 42, 39,
 700, 19.00, 1.00,7, 1.00, 205.00, 161.00, 165, 161,
 50, 10.00, 1.00,4, 1.00, 205.00, 5.00, 7, 7,
 300, 14.00, 0.00,4, 1.00, 204.00, 61.00, 58, 53,
 400, 16.00, 1.00,4, 2.00, 206.00, 80.00, 77, 70,
 500, 18.00, 1.00,5, 1.00, 203.00, 110.00, 115, 109,
 800, 13.00, 0.00,4, 2.00, 204.00, 145.00, 150, 135,
 100, 12.00, 1.00,4, 2.00, 206.00, 29.00, 27, 23,
 1000, 12.00, 0.00,4, 1.00, 205.00, 233.00, 250, 229,
