n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 17.00, 1.00,13, 1.00, 1683.00, 7.00, 2, 2,
 600, 17.00, 1.00,12, 2.00, 1683.00, 1686.00, 125, 103,
 900, 17.00, 0.00,13, 1.00, 1682.00, 2645.00, 146, 122,
 200, 17.00, 1.00,13, 1.00, 1683.00, 544.00, 31, 27,
 700, 17.00, 1.00,12, 1.00, 1675.00, 1846.00, 117, 92,
 50, 17.00, 1.00,12, 2.00, 1686.00, 20.00, 4, 3,
 300, 17.00, 1.00,12, 2.00, 1679.00, 390.00, 37, 29,
 400, 16.00, 1.00,13, 1.00, 1680.00, 813.00, 53, 42,
 500, 17.00, 1.00,12, 2.00, 1682.00, 1209.00, 81, 62,
 800, 16.00, 1.00,13, 1.00, 1685.00, 1846.00, 105, 80,
 100, 16.00, 1.00,13, 1.00, 1684.00, 575.00, 19, 15,
 1000, 17.00, 1.00,12, 2.00, 1684.00, 3660.00, 170, 141,
