moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,183.0, 7802.00, 129.00, 2, 2
 600,182.0, 7710.00, 6734.00, 68, 57
 900,183.0, 7726.00, 9548.00, 74, 63
 200,183.0, 8014.00, 2326.00, 17, 14
 700,183.0, 7714.00, 8480.00, 62, 48
 50,184.0, 7696.00, 68.00, 1, 1
 300,188.0, 7938.00, 2759.00, 23, 21
 400,183.0, 7705.00, 3061.00, 30, 24
 500,183.0, 7722.00, 5812.00, 50, 45
 800,183.0, 7724.00, 6648.00, 45, 42
 100,184.0, 7754.00, 625.00, 10, 8
 1000,182.0, 7705.00, 10468.00, 100, 88
