n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,26, 1.00, 4384.00, 2.00, 0, 0,
 600, 26.00, 1.00,26, 2.00, 4364.00, 114.00, 65, 39,
 900, 27.00, 1.00,27, 1.00, 4378.00, 131.00, 83, 64,
 200, 26.00, 1.00,27, 1.00, 4424.00, 32.00, 22, 14,
 700, 27.00, 0.00,27, 1.00, 4376.00, 105.00, 73, 41,
 50, 26.00, 1.00,27, 2.00, 4421.00, 3.00, 4, 0,
 300, 27.00, 1.00,27, 1.00, 4384.00, 44.00, 25, 18,
 400, 27.00, 1.00,26, 2.00, 4380.00, 66.00, 31, 18,
 500, 27.00, 1.00,26, 1.00, 4446.00, 62.00, 43, 27,
 800, 28.00, 1.00,26, 2.00, 4395.00, 86.00, 57, 36,
 100, 27.00, 1.00,27, 1.00, 4383.00, 15.00, 12, 7,
 1000, 27.00, 1.00,26, 1.00, 4410.00, 133.00, 93, 59,
