n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 0.00,4, 1.00, 203.00, 4.00, 4, 3,
 600, 11.00, 0.00,4, 2.00, 204.00, 115.00, 169, 159,
 900, 10.00, 0.00,3, 1.00, 203.00, 111.00, 194, 175,
 200, 10.00, 1.00,3, 1.00, 204.00, 28.00, 42, 39,
 700, 20.00, 0.00,4, 1.00, 204.00, 100.00, 165, 161,
 50, 12.00, 1.00,4, 2.00, 206.00, 3.00, 7, 7,
 300, 15.00, 1.00,3, 2.00, 204.00, 38.00, 58, 53,
 400, 9.00, 0.00,4, 1.00, 204.00, 44.00, 77, 70,
 500, 11.00, 1.00,4, 1.00, 204.00, 68.00, 115, 109,
 800, 21.00, 2.00,7, 3.00, 202.00, 82.00, 150, 135,
 100, 9.00, 1.00,3, 2.00, 209.00, 21.00, 27, 23,
 1000, 15.00, 0.00,4, 1.00, 204.00, 152.00, 248, 229,
